Species Name,Common Name,Location,Contamination Zone,Radioactive Contamination Level (kBq/m²),Concentration (Bq/kg),Melanin,Edibility,Fungi Growth Rate,Fungi Growth Category,Committed Effective Dose (mSv/year),Years Since 2024,Estimated Birth Date,Estimated Death Date,Life and Death Cycles,Latitude,Longitude,pH Level,Soil Type
Inocybe geophylla,Earthy Inocybe,"EcoCenter, Ukraine",Zone 2,1172.93,344.63,False,Edible,1.0,Normal,0.045,16.2,2017-07-29 20:39:02,2018-10-17 08:01:29,1,51.34207569837476,27.06647906251071,6.2,Sandy
Mycena flavoalba,Yellowleg Bonnet,"Vesniane, Ukraine",Zone 4,49.49,308.16,False,Edible,1.0,Normal,0.04,14.1,2018-09-06 00:46:44,2036-08-24 21:11:27,1,50.290140693213175,28.205833796189335,4.7,Loam
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 2,1045.36,194.09,False,Edible,1.0,Normal,0.025,10.0,2020-06-06 04:46:04,2048-06-18 06:51:47,1,51.085778180236325,27.003919044533557,5.6,Sandy
Cladosporium sphaerospermum,Radiotrophic Fungus,International Space Station,Zone 2,985.49,17.24,True,Unknown,1.478235,Normal,0.002,3.5,2023-07-29 04:55:02,2053-05-20 22:00:47,1,50.8953526412048,29.88810539358827,5.9,Sandy
Boletus chanteral,Chanterelle,"Veprin, Russia",Zone 2,671.26,3859.92,False,Edible,1.0,Normal,0.502,18.0,2016-06-25 12:28:30,2031-09-17 13:18:02,1,50.37102829604453,27.340199245426888,4.8,Clay
Leccinum aurantiacum,Red-Capped Scaber Stalk,"Lugine, Ukraine",Zone 2,733.81,385.23,False,Edible,1.0,Normal,0.05,11.5,2018-08-27 03:44:15,2054-09-18 02:26:17,1,50.52505931273693,29.99927669290752,5.3,Sandy
Wangiella dermatitidis,Black Yeast,Worldwide,Zone 2,726.07,10.09,True,Unknown,1.0891050000000002,Normal,0.001,6.1,2019-12-03 00:39:51,2044-09-25 00:34:35,1,50.49640528716612,29.199711954402094,5.5,Loam
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 2,732.65,272.92,False,Edible,1.0,Normal,0.035,2.0,2022-02-13 16:54:29,2045-11-30 13:08:40,1,50.68684964179707,27.355538190734492,7.9,Loam
Boletus luteus,Slippery Jack,"Veprin, Russia",Zone 3,214.3,12587.65,False,Edible,1.0,Normal,1.636,24.9,2005-08-02 20:15:10,2005-09-12 01:18:01,1,51.41519597919749,27.087772970332818,6.4,Sandy
Boletus luteus,Slippery Jack,"Veprin, Russia",Zone 2,1062.53,17358.94,False,Edible,1.0,Normal,2.257,2.4,2024-05-03 20:04:23,2026-10-19 01:44:13,1,50.78766845476172,28.258664737244725,6.4,Clay
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 1,3720.43,319.02,False,Toxic,1.0,Normal,0.041,13.9,2011-02-05 04:31:40,2045-08-21 09:14:26,1,51.950548649397,27.348492285553252,6.1,Clay
Leccinum aurantiacum,Red-Capped Scaber Stalk,"Lugine, Ukraine",Zone 2,777.35,209.79,False,Edible,1.0,Normal,0.027,15.9,2019-09-22 19:04:40,2035-08-04 05:15:40,1,50.58681648742763,27.102594160243726,7.5,Loam
Cladosporium sphaerospermum,Radiotrophic Fungus,International Space Station,Zone 2,1170.34,9.79,True,Unknown,1.75551,Normal,0.001,2.1,2024-04-23 04:29:39,2026-05-27 15:13:02,1,51.312432619734594,29.317864239376796,4.1,Sandy
Boletus luteus,Slippery Jack,"Veprin, Russia",Zone 1,4416.27,13882.18,False,Edible,1.0,Normal,1.805,15.4,2010-03-17 09:52:29,2038-05-21 21:05:20,1,50.66167993865941,27.69515787865598,6.9,Sandy
Boletus russula,Russula,"Veprin, Russia",Zone 3,423.47,7573.18,False,Edible,1.0,Normal,0.985,11.9,2022-01-16 00:08:21,2037-07-02 22:45:10,1,51.91039418773025,28.087749975445956,5.7,Clay
Lactarius deliciosus,Saffron Milk Cap,"Red Forest, Ukraine",Zone 2,822.07,166.46,False,Edible,1.0,Normal,0.022,8.6,2023-09-05 23:35:26,2027-02-27 21:42:45,1,51.616878919362726,28.757429673322747,7.9,Loam
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 1,4958.71,353.03,False,Toxic,1.0,Normal,0.046,8.0,2015-04-25 10:48:34,2019-05-24 02:49:10,1,51.11719476891237,27.826490151233607,4.4,Clay
Psathyrella candolleana,Pale Brittlestem,"Near Zalizia, Ukraine",Zone 1,3445.38,228.68,False,Edible,1.0,Normal,0.03,9.3,2022-11-05 21:14:00,2051-05-18 22:24:58,1,50.84942537170123,29.78502101246503,6.4,Loam
Melanoleuca melaleuca,Common Cavalier,"Near Chernobyl, Ukraine",Zone 4,154.53,207.18,False,Edible,1.0,Normal,0.027,22.6,2022-10-31 11:18:27,2048-12-02 15:39:04,1,50.27186941534306,28.90802411497407,6.4,Loam
Boletus edulis,Porcini,"Korosten, Ukraine",Zone 4,46.32,1234.28,False,Edible,1.0,Normal,0.16,8.7,2023-10-24 17:25:34,2028-09-27 11:55:39,1,50.40415827454148,29.772652035702492,6.4,Sandy
Boletus chanteral,Chanterelle,"Veprin, Russia",Zone 4,168.73,2945.28,False,Edible,1.0,Normal,0.383,19.8,2023-05-18 19:01:27,2051-02-08 19:44:00,1,50.80332032622037,29.634752971969185,7.4,Loam
Pholiota squarrosa,Shaggy Scalycap,"Budaörs, Hungary",Zone 4,76.19,237.22,False,Edible,1.0,Normal,0.031,23.5,2017-02-03 04:02:30,2045-01-20 14:43:18,1,50.52232619695866,27.613770608946574,7.4,Loam
Hebeloma crustuliniforme,Poison Pie,"Ivankov, Ukraine",Zone 2,1023.68,301.3,False,Toxic,1.0,Normal,0.039,22.5,2008-03-18 12:12:05,2014-01-07 04:27:12,1,50.45037006837359,27.449267849962382,5.1,Sandy
Leccinum scabrum,Brown Birch Bolete,Chernobyl Exclusion Zone,Zone 1,3112.41,1322.19,True,Edible,4.668614999999999,Normal,0.172,27.2,2002-07-14 16:10:37,2018-03-31 04:40:22,1,51.19461235428497,27.75674428193053,5.7,Loam
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 3,242.79,448.27,False,Edible,1.0,Normal,0.058,22.4,2020-12-01 21:13:29,2038-08-29 06:08:08,1,50.30224287894661,29.52642006121778,6.2,Clay
Boletus russula,Russula,"Veprin, Russia",Zone 2,654.23,14345.81,False,Edible,1.0,Normal,1.865,14.1,2019-06-21 00:24:26,2023-06-01 08:31:20,1,51.6002696003083,27.4721093585061,4.5,Sandy
Coprinellus micaceus,Mica Cap,"Vesniane, Ukraine",Zone 1,3148.94,374.47,False,Edible,1.0,Normal,0.049,21.6,2012-10-19 08:14:00,2016-02-21 17:40:30,1,51.81662166873143,27.73564124519678,6.2,Clay
Coprinopsis atramentaria,Inky Cap,"Bingen-am-Rhein, Germany",Zone 3,264.84,427.24,False,Edible,1.0,Normal,0.056,5.5,2022-08-12 23:45:41,2049-02-25 08:43:01,1,51.93857568515186,28.43603888795954,4.4,Loam
Boletus luteus,Slippery Jack,"Veprin, Russia",Zone 3,507.04,17776.98,False,Edible,1.0,Normal,2.311,25.9,2001-05-28 14:28:21,2044-05-19 08:04:46,1,50.01103847344372,28.465266063467464,4.5,Clay
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 4,95.23,339.26,False,Edible,1.0,Normal,0.044,18.7,2011-06-14 01:13:03,2019-01-13 16:21:51,1,51.27672405114188,29.685989737821288,7.5,Loam
Cortinarius praestans,Radiation Webcap,Chernobyl Village,Zone 3,491.72,642.94,False,Edible,1.0,Normal,0.084,19.0,2018-11-20 14:05:21,2023-10-02 11:43:38,1,50.52117130568147,28.335895852835133,6.5,Sandy
