parameter,value,unit,uncertainty,reference,DOI,notes
# Cryptococcus neoformans Growth Parameters
doubling_time_optimal,1.3,hours,0.3,"Zaragoza et al. (nutrient-rich, 30°C)",10.1128/AAC.00342-06,Optimal growth in rich medium
doubling_time_typical,3.95,hours,1.25,"Strain variation (2.7-5.2 hr range)",10.1093/femsyr/foab026,Average of reported strains in glucose media
growth_temp_optimal,30,celsius,0,"Standard laboratory conditions",N/A,Optimal growth temperature
growth_temp_range_min,25,celsius,0,"Viable growth range",N/A,Minimum growth temperature
growth_temp_range_max,37,celsius,0,"Viable growth range",N/A,Maximum growth temperature (human body)

# Melanin Content and Synthesis
melanin_dry_mass_fraction,0.154,dimensionless,0.02,"10 days in 1mM L-DOPA medium",10.1186/1471-2180-6-11,15.4% of dry cell mass
melanin_per_cell,14.2,femtogram,3,"H99 strain in DOPA medium",10.1128/EC.00156-09,~71 ng per 5×10⁶ cells
melanin_per_cell_alt,1.96,femtogram,0.5,"ATCC 34873 strain",10.1128/EC.00156-09,~9.8 ng per 5×10⁶ cells
L_DOPA_optimal_conc,1.0,millimolar,0.2,"For melanization",10.1080/13693780903497304,Concentrations >1mM can inhibit
cell_wall_thickness_melanized,120,nanometer,20,"With melanin vs 80nm without",Multiple,Melanin increases wall thickness

# Fungal Biomass and Carrying Capacity
fungal_gene_copies_mat,5e6,copies_per_gram,3e6,"18S rRNA genes in microbial mats",10.1038/ismej.2015.221,10⁶-10⁷ range typical
fungal_biomass_stream,2.5,g_C_per_m2,1.5,"Fungal carbon in stream ecosystems",ResearchGate,High organic matter substrates
mycelium_density_composite,200,kg_per_m3,50,"Engineered mycelial materials",Wikipedia,Density of fungal mycelium blocks
carrying_capacity_liquid,8.5,g_dry_weight_per_L,2,"Filamentous bio-mats",Patent,Artificial media cultures

# Radiation Biology (from previous research)
background_radiation,2.74e-7,Gy_per_hour,5e-8,"Natural Earth background (2.4 mSv/yr)",Multiple,Conversion: 2.4 mSv/yr ÷ 8760 hr/yr = 2.74e-7 Gy/hr
dadachova_exp_dose_rate,11.94,Gy_per_minute,1,"Dadachova 2007 lab irradiator (Cs-137)",10.1371/journal.pone.0000457,"Experimental setup, NOT environmental"
dadachova_exp_dose_rate_hourly,0.716,Gy_per_hour,0.06,"Dadachova experimental (hourly rate)",10.1371/journal.pone.0000457,"11.94 Gy/min × 60 min/hr (if continuous)"
chernobyl_env_exclusion_zone,5e-5,Gy_per_hour,4e-5,"Chernobyl exclusion zone average (50 μSv/hr)",Multiple,"Environmental levels 2020s, 0.06-100 μSv/hr range"
chernobyl_env_hotspot_max,1e-4,Gy_per_hour,5e-5,"Chernobyl hotspot maximum (100 μSv/hr)",Multiple,"Red Forest areas, highly variable"
chernobyl_reactor_hall_1986,175,Gy_per_hour,50,"Reactor building immediately post-accident",Multiple,">20,000 R/hr, lethal in minutes"
growth_enhancement_factor,3.0,dimensionless,0.5,"Melanized fungi under Dadachova irradiation",10.1371/journal.pone.0000457,"Lab experiment with high-dose irradiation"
ISS_growth_advantage,0.21,dimensionless,0.05,"C. sphaerospermum on ISS",10.1101/2020.07.16.205534,21% faster growth in space radiation

# Cell Physical Properties
cell_mass_C_neoformans,1.2,picogram,0.3,"Cryptococcus dry mass per cell",Estimated,Typical yeast cell mass
cell_diameter,5.5,micrometer,1,"Capsule-free cells",Multiple,Range 4-7 μm
cell_volume,87,cubic_micrometer,30,"Calculated from diameter",Calculated,Assuming spherical

# Atmospheric Evolution Timeline (from previous research)
O2_hadean,2e-6,percent_volume,1e-6,"4.6-4.0 Ga",Multiple,Virtually anoxic
O2_archean_early,2e-4,percent_volume,1e-4,"4.0-3.5 Ga",Multiple,"<0.001% PAL"
O2_archean_late,0.01,percent_volume,0.008,"3.0-2.5 Ga, whiffs",10.1038/nature09527,Transient increases
O2_GOE,1.0,percent_volume,0.5,"2.5-2.0 Ga",10.1098/rsta.2006.1896,"Great Oxidation Event, 1-10% PAL"
O2_proterozoic,5.0,percent_volume,2,"2.0-0.54 Ga",Multiple,10-40% PAL average
O2_phanerozoic,18.0,percent_volume,5,"0.54-0 Ga",Multiple,Varied 50-150% PAL
O2_modern,21.0,percent_volume,0.1,"Present day",Measured,100% PAL

# Radiation Timeline (Geological)
cosmic_rays_hadean,10,relative_to_modern,3,"4.6-4.0 Ga",Estimated,Weaker magnetosphere
cosmic_rays_archean,5,relative_to_modern,2,"4.0-2.5 Ga",Estimated,Strengthening field
cosmic_rays_modern,1,relative_to_modern,0,Present,Measured,Baseline
radionuclide_dose_hadean,5.0,Gy_per_year,1.5,"U/Th/K decay",Calculated,High primordial isotopes
radionuclide_dose_archean,2.0,Gy_per_year,0.5,"Declining isotopes",Calculated,Half-lives passing
radionuclide_dose_modern,0.002,Gy_per_year,0.001,"Remnant decay",Measured,~2 mGy/year

# TO BE ADDED (Week 1.2-2.2)
# - Mutation rates (substitutions per bp per generation)
# - Selection coefficients
# - Nutrient uptake kinetics (Michaelis-Menten Km, Vmax)
# - Temperature response curves
# - Dose-response relationships (detailed)

# Week 1.2: Radiation Biology Deep Dive (COMPLETED)
# Lethal Doses and Survival
LD50_C_neoformans_melanized,120,Gray,20,"50% kill for melanized cells",10.1371/journal.pone.0000457,"Gamma radiation, Dadachova 2007"
kill_80pct_melanized,360,Gray,40,"80% kill for melanized C. neoformans",10.1371/journal.pone.0000457,Higher dose for effective sterilization
LD50_C_neoformans_nonmelanized,30,Gray,10,"Estimated from sensitivity difference",Estimated,"~4x more sensitive than melanized"
UV_LD99_C_sphaerospermum,250,mJ_per_cm2,50,"99.9% spore inactivation by UV-C",Multiple,Extremely radioresistant to gamma
melanin_protection_factor,4.0,dimensionless,1,"Survival ratio melanized/non-melanized",10.1371/journal.pone.0000457,Radioprotection from melanin

# Radiotropism Quantitative Data (Zhdanova 2004)
radiotropism_positive_fraction,0.86,dimensionless,0.1,"Fraction showing positive radiotropism",10.1017/S0953756204009876,"Fungi from contaminated sites"
radiotropism_mean_angle,65,degrees,15,"Mean return angle toward radiation",10.1017/S0953756204009876,"<90° indicates attraction"
radiotropism_total_interactions,27,count,0,"Total fungal-radiation interactions tested",10.1017/S0953756204009876,Zhdanova 2004 dataset
radiotropism_positive_count,18,count,0,"Interactions showing growth stimulation",10.1017/S0953756204009876,66.7% of total

# DNA Damage and Repair Kinetics
DNA_repair_half_time,6,hours,2,"Time to 50% reduction in γH2AX foci",Multiple estimates,"Typical for NHEJ pathway"
DNA_repair_complete_time,24,hours,6,"Time to full γH2AX foci disappearance",10.1038/nrm2380,If repair is successful
DNA_damage_equilibrium_time,24,hours,6,"Plateau of damage-repair balance",Multiple,"Under chronic irradiation"
NER_repair_rate_UV,30,minutes,10,"Nucleotide Excision Repair for UV",ResearchGate,Yeast UV damage repair
upregulation_repair_genes,2.5,fold_change,0.8,"DNA repair gene expression increase",Estimated,"C. neoformans, A. auricula-judae"

# Dose-Response Parameters (Dadachova 2007 - extracted from text)
baseline_growth_rate_no_rad,1.0,dimensionless,0,"Normalized growth with no radiation",Reference,Baseline for comparison
growth_rate_150x_background,1.5,dimensionless,0.3,"Growth at 150x background (~45 μGy/hr)",Interpolated,"Low dose enhancement"
growth_rate_500x_background,3.0,dimensionless,0.5,"Growth at 500x background (~150 μGy/hr)",10.1371/journal.pone.0000457,"Peak enhancement reported"
